fileId,fileUrls from query MOD06_L2--61 2024-01-01..2024-01-01 x-130y52 x-60y20[7],size
7911766596,/archive/allData/61/MOD06_L2/2024/001/MOD06_L2.A2024001.0000.061.2024004163458.hdf,25621588
7911768252,/archive/allData/61/MOD06_L2/2024/001/MOD06_L2.A2024001.0630.061.2024004163743.hdf,24422091
7911800062,/archive/allData/61/MOD06_L2/2024/001/MOD06_L2.A2024001.1825.061.2024004170824.hdf,110903962
7911805131,/archive/allData/61/MOD06_L2/2024/001/MOD06_L2.A2024001.1830.061.2024004171501.hdf,83971543
7911807156,/archive/allData/61/MOD06_L2/2024/001/MOD06_L2.A2024001.0455.061.2024004171751.hdf,26383015
7911817538,/archive/allData/61/MOD06_L2/2024/001/MOD06_L2.A2024001.0625.061.2024004172824.hdf,15698686
7911824357,/archive/allData/61/MOD06_L2/2024/001/MOD06_L2.A2024001.0315.061.2024004173252.hdf,27324693
7911825047,/archive/allData/61/MOD06_L2/2024/001/MOD06_L2.A2024001.0445.061.2024004173314.hdf,22231646
7911825048,/archive/allData/61/MOD06_L2/2024/001/MOD06_L2.A2024001.0450.061.2024004173317.hdf,21401919
7911826681,/archive/allData/61/MOD06_L2/2024/001/MOD06_L2.A2024001.1325.061.2024004173417.hdf,49119679
7911831965,/archive/allData/61/MOD06_L2/2024/001/MOD06_L2.A2024001.0135.061.2024004173901.hdf,19161583
7911831967,/archive/allData/61/MOD06_L2/2024/001/MOD06_L2.A2024001.1505.061.2024004173909.hdf,70886596
7911852817,/archive/allData/61/MOD06_L2/2024/001/MOD06_L2.A2024001.1655.061.2024004175230.hdf,92096215
7911853382,/archive/allData/61/MOD06_L2/2024/001/MOD06_L2.A2024001.1515.061.2024004175255.hdf,103871050
7911856257,/archive/allData/61/MOD06_L2/2024/001/MOD06_L2.A2024001.1330.061.2024004175535.hdf,151563177
7911861741,/archive/allData/61/MOD06_L2/2024/001/MOD06_L2.A2024001.1835.061.2024004175944.hdf,151909358
7912213770,/archive/allData/61/MOD06_L2/2024/001/MOD06_L2.A2024001.0125.061.2024004220733.hdf,15604706
7912221566,/archive/allData/61/MOD06_L2/2024/001/MOD06_L2.A2024001.2000.061.2024004221242.hdf,49000824
7912229320,/archive/allData/61/MOD06_L2/2024/001/MOD06_L2.A2024001.0130.061.2024004221757.hdf,19276866
7912229322,/archive/allData/61/MOD06_L2/2024/001/MOD06_L2.A2024001.1645.061.2024004221716.hdf,94529989
7912233097,/archive/allData/61/MOD06_L2/2024/001/MOD06_L2.A2024001.0635.061.2024004222042.hdf,24651713
7912234978,/archive/allData/61/MOD06_L2/2024/001/MOD06_L2.A2024001.1650.061.2024004222223.hdf,106852710
7912235847,/archive/allData/61/MOD06_L2/2024/001/MOD06_L2.A2024001.0305.061.2024004222324.hdf,17854548
7912244880,/archive/allData/61/MOD06_L2/2024/001/MOD06_L2.A2024001.2005.061.2024004223112.hdf,151953394
7912246082,/archive/allData/61/MOD06_L2/2024/001/MOD06_L2.A2024001.0310.061.2024004223204.hdf,21708427
7912256697,/archive/allData/61/MOD06_L2/2024/001/MOD06_L2.A2024001.0140.061.2024004223730.hdf,23658002
7912264423,/archive/allData/61/MOD06_L2/2024/001/MOD06_L2.A2024001.1510.061.2024004224117.hdf,153765318
7912281941,/archive/allData/61/MOD06_L2/2024/001/MOD06_L2.A2024001.1335.061.2024004225258.hdf,119616777
